City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Hueneme,US,89.24,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
3,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
4,Lewistown,US,75.72,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
20,Butaritari,KI,81.14,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Dasoguz,TM,85.95,clear sky,41.8363,59.9666,Hotel Erik
40,Panaba,MX,78.17,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
41,Santa Marta,CO,80.65,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
42,Sibu,MY,82.71,few clouds,2.3,111.8167,RH HOTEL (4 Star)
47,Garavuti,TJ,83.05,clear sky,37.5672,68.4469,(HOUSE)(🏠) - Jamoli Safarzod
53,Abnub,EG,79.23,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
56,Loa Janan,ID,81.63,scattered clouds,-0.583,117.095,Kost bu jono
57,La Palma,US,87.66,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
58,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Bethel,US,81.34,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
62,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
67,Tura,IN,80.2,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
70,Port Moresby,PG,81.95,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
81,Veraval,IN,81.18,overcast clouds,20.9,70.3667,Lords Inn Somnath
83,Bacolod,PH,85.87,scattered clouds,10.6667,122.95,Planta Hotel & Residences
85,Dingle,PH,86.11,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
89,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Green leaf
100,Meulaboh,ID,82.29,broken clouds,4.1363,96.1285,Kost Pria
101,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
119,Katsuura,JP,84.22,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
120,Chengde,CN,84.09,light rain,40.9725,117.9361,Super 8 Hotel
123,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
124,Zeya,RU,80.85,clear sky,53.75,127.2667,Kapital Inn
125,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
126,San Quintin,MX,75.13,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
135,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Base Lodging
137,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
138,Aswan,EG,84.24,clear sky,24.0934,32.907,Nuba Nile
143,Cockburn Town,TC,82.18,clear sky,21.4612,-71.1419,Osprey Beach Hotel
144,Diffa,NE,80.24,overcast clouds,13.3154,12.6113,ProDAF/Diffa
153,Moussoro,TD,84.81,overcast clouds,13.6408,16.4901,Hôtel Salama
154,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
160,Cartagena,CO,80.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
161,Baiao,BR,79.02,overcast clouds,-2.7906,-49.6717,Município de Baião
165,Buraydah,SA,86.34,broken clouds,26.326,43.975,Mövenpick Qassim
166,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
167,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
170,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
174,Chauk,MM,85.21,overcast clouds,20.8833,94.8167,Bo Khin Guest House
175,Isangel,VU,81.09,few clouds,-19.55,169.2667,Tanna Lodge
185,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Villa Enata
186,Hamilton,US,79.86,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
187,Portland,US,86.0,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
188,Bambanglipuro,ID,79.93,overcast clouds,-7.95,110.2833,Puri Brata
190,Douglas,US,82.74,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
199,Hithadhoo,MV,78.17,overcast clouds,-0.6,73.0833,Scoop Guest House
204,Black River,JM,80.44,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
207,Ranong,TH,75.13,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
209,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
211,Mahibadhoo,MV,82.81,overcast clouds,3.7833,72.9667,Omadhoo Inn
212,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
213,Kirakira,SB,84.45,overcast clouds,-10.4544,161.9205,SanBiz Lodge
214,Atar,MR,89.82,clear sky,20.5169,-13.0499,Oumou Elghoura
218,Luganville,VU,82.8,broken clouds,-15.5333,167.1667,The Espiritu Hotel
219,Sokoni,TZ,75.43,clear sky,-6.4333,39.55,Ujamaa Beach Resort
221,Richmond,US,79.99,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
222,Laurel,US,84.38,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
223,Tulum,MX,79.74,clear sky,20.2167,-87.4667,Kin Ha Tulum
224,Kavieng,PG,82.4,light rain,-2.5744,150.7967,Nusa Island Retreat
225,Jashpurnagar,IN,77.25,overcast clouds,22.9,84.15,Sagar Restaurant
233,Namatanai,PG,84.47,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
234,Hambantota,LK,79.61,overcast clouds,6.1241,81.1185,Bungalow 63
243,Kulhudhuffushi,MV,81.45,overcast clouds,6.6221,73.07,Haajy Guest House 1
245,Puerto Cabezas,NI,78.03,overcast clouds,14.0351,-83.3888,Cabaña Caribe
249,Faanui,PF,77.27,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
252,Baruun-Urt,MN,83.14,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
253,Port Blair,IN,80.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
264,Buala,SB,85.64,light rain,-8.145,159.5921,Maringe Lagoon Lodge
268,Itarema,BR,77.41,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
271,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
275,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
278,Bengkulu,ID,80.1,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
279,Palmer,US,81.32,clear sky,42.1584,-72.3287,Wedgewood Motel
283,Roebourne,AU,76.24,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
287,Great Falls,US,88.25,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
291,Pathein,MM,75.83,moderate rain,16.7833,94.7333,Pathein Hotel
297,Sari,IR,78.3,light rain,36.5633,53.0601,Tajan Inn
298,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
300,Labuhan,ID,81.57,overcast clouds,-6.8844,112.2051,DoubleFAG
304,Green River,US,84.6,overcast clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
307,Guiyang,CN,79.29,broken clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
308,San Francisco,US,76.32,few clouds,37.7749,-122.4194,Edwardian Hotel
309,Zhucheng,CN,81.81,overcast clouds,35.9947,119.3975,Fanrong Hotel
310,Boralday,KZ,82.26,clear sky,43.3578,76.8594,"Zhetysu, Too Zhetysu"
312,Salalah,OM,75.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
314,Davila,PH,89.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
315,Makakilo City,US,86.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
317,Srivardhan,IN,79.93,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
318,Pithora,IN,77.9,overcast clouds,21.2667,82.5167,"Government Scheduled Caste Boys Hostel, Pithora"
319,Odlabari,IN,79.23,light rain,26.8333,88.6167,west damdim resort
321,Acajutla,SV,79.72,light rain,13.5928,-89.8275,Laureles
326,Elizabeth City,US,77.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
328,Madang,PG,84.43,clear sky,-5.2246,145.7966,Comfort Inn Hotel
329,Puerto Escondido,MX,81.54,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
330,Hua Hin,TH,86.02,few clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
334,Garmsar,IR,88.56,clear sky,35.2182,52.3409,مجتمع مرصاد
336,Ibra,OM,81.37,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
337,Bang Saphan,TH,77.77,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
340,Nizhniy Kuranakh,RU,76.14,broken clouds,58.8353,125.4869,Park Pobedy
346,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
347,Bela,IN,83.12,overcast clouds,25.9333,81.9833,Raj Bhawan
