City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuktoyaktuk,69.4541,-133.0374,50.0,93,75,9.22,CA,2022-07-21 02:53:00
1,Hermanus,-34.4187,19.2345,49.33,76,0,5.93,ZA,2022-07-21 02:53:00
2,Bluff,-46.6,168.3333,45.81,69,100,7.49,NZ,2022-07-21 02:53:01
3,Port Alfred,-33.5906,26.891,55.18,96,83,3.0,ZA,2022-07-21 02:53:01
4,Outjo,-20.1167,16.15,51.31,40,0,8.25,NA,2022-07-21 02:53:01
5,Agadez,19.75,10.25,83.97,20,4,12.1,NE,2022-07-21 02:48:37
6,Paso De Los Toros,-32.8167,-56.5167,63.16,97,97,6.73,UY,2022-07-21 02:53:02
7,Avarua,-21.2078,-159.775,73.45,68,75,16.11,CK,2022-07-21 02:50:13
8,Mancio Lima,-7.6142,-72.8958,73.83,75,78,1.74,BR,2022-07-21 02:53:02
9,Taltal,-25.4,-70.4833,57.24,87,100,2.37,CL,2022-07-21 02:48:12
10,Airai,-8.9266,125.4092,70.34,62,56,3.44,TL,2022-07-21 02:53:03
11,Tuktoyaktuk,69.4541,-133.0374,50.0,93,75,9.22,CA,2022-07-21 02:53:39
12,Hermanus,-34.4187,19.2345,49.33,76,0,5.93,ZA,2022-07-21 02:53:39
13,Bluff,-46.6,168.3333,45.81,69,100,7.49,NZ,2022-07-21 02:53:01
14,Port Alfred,-33.5906,26.891,55.18,96,83,3.0,ZA,2022-07-21 02:53:01
15,Outjo,-20.1167,16.15,51.31,40,0,8.25,NA,2022-07-21 02:53:01
16,Agadez,19.75,10.25,83.97,20,4,12.1,NE,2022-07-21 02:48:37
17,Paso De Los Toros,-32.8167,-56.5167,63.16,97,97,6.73,UY,2022-07-21 02:53:02
18,Avarua,-21.2078,-159.775,73.45,68,75,16.11,CK,2022-07-21 02:53:40
19,Mancio Lima,-7.6142,-72.8958,73.83,75,78,1.74,BR,2022-07-21 02:53:02
20,Taltal,-25.4,-70.4833,57.24,87,100,2.37,CL,2022-07-21 02:53:41
21,Airai,-8.9266,125.4092,70.34,62,56,3.44,TL,2022-07-21 02:53:03
22,Tuktoyaktuk,69.4541,-133.0374,53.6,94,100,6.91,CA,2022-07-21 22:41:02
23,Hermanus,-34.4187,19.2345,52.9,76,100,5.06,ZA,2022-07-21 22:41:02
24,Bluff,-46.6,168.3333,43.81,81,90,8.12,NZ,2022-07-21 22:41:03
25,Port Alfred,-33.5906,26.891,57.18,77,0,8.39,ZA,2022-07-21 22:41:03
26,Outjo,-20.1167,16.15,56.3,31,0,8.48,NA,2022-07-21 22:41:03
27,Agadez,19.75,10.25,92.08,17,66,5.7,NE,2022-07-21 22:41:04
28,Paso De Los Toros,-32.8167,-56.5167,58.75,88,99,8.55,UY,2022-07-21 22:41:04
29,Avarua,-21.2078,-159.775,73.45,73,75,12.66,CK,2022-07-21 22:41:04
30,Mancio Lima,-7.6142,-72.8958,87.87,48,40,0.0,BR,2022-07-21 22:41:05
31,Taltal,-25.4,-70.4833,59.0,85,9,3.09,CL,2022-07-21 22:40:21
32,Airai,-8.9266,125.4092,57.38,85,98,3.78,TL,2022-07-21 22:41:05
