City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Hueneme,US,2022-07-22 02:17:40,34.1478,-119.1951,89.24,73,0,11.5,clear sky
1,Simbahan,PH,2022-07-22 02:14:47,6.3032,120.5836,82.67,74,45,2.95,scattered clouds
2,Albany,US,2022-07-22 02:09:37,42.6001,-73.9662,79.45,80,0,3.65,clear sky
3,Komsomolskiy,UZ,2022-07-22 02:09:19,40.4272,71.7189,83.12,30,0,9.22,clear sky
4,Lewistown,US,2022-07-22 02:17:41,40.5992,-77.5714,75.72,100,100,3.44,overcast clouds
5,Cape Town,ZA,2022-07-22 02:07:06,-33.9258,18.4232,57.38,82,100,1.01,overcast clouds
6,Puerto Ayora,EC,2022-07-22 02:10:13,-0.7393,-90.3518,68.56,95,69,5.01,broken clouds
7,Vaini,TO,2022-07-22 02:09:49,-21.2,-175.2,74.05,76,43,11.81,scattered clouds
8,Bredasdorp,ZA,2022-07-22 02:10:00,-34.5322,20.0403,46.96,83,100,4.54,overcast clouds
9,Chimore,BO,2022-07-22 02:17:41,-16.9833,-65.1333,74.16,69,100,2.33,overcast clouds
10,Upernavik,GL,2022-07-22 02:09:48,72.7868,-56.1549,44.11,97,100,22.21,light rain
11,Lerwick,GB,2022-07-22 02:17:42,60.1545,-1.1494,50.0,87,68,8.97,broken clouds
12,Berlevag,NO,2022-07-22 02:11:04,70.8578,29.0864,55.35,88,100,17.27,light intensity drizzle
13,Bluff,NZ,2022-07-22 02:09:36,-46.6,168.3333,43.81,71,99,7.72,overcast clouds
14,Avera,US,2022-07-22 02:06:50,33.194,-82.5271,80.11,82,95,7.63,overcast clouds
15,Christchurch,NZ,2022-07-22 02:11:37,-43.5333,172.6333,50.41,71,75,11.5,broken clouds
16,Sobolevo,RU,2022-07-22 02:10:39,54.4299,31.8996,52.57,95,0,7.83,clear sky
17,Tasiilaq,GL,2022-07-22 02:10:00,65.6145,-37.6368,32.16,82,84,0.67,broken clouds
18,Carnarvon,AU,2022-07-22 02:09:54,-24.8667,113.6333,64.2,60,0,19.06,clear sky
19,Krasnogorsk,RU,2022-07-22 02:17:43,55.8225,37.3181,62.65,88,0,11.18,clear sky
20,Butaritari,KI,2022-07-22 02:10:06,3.0707,172.7902,81.14,77,29,6.87,light rain
21,Saskylakh,RU,2022-07-22 02:09:41,71.9167,114.0833,54.36,60,100,7.72,overcast clouds
22,Ancud,CL,2022-07-22 02:10:13,-41.8697,-73.8203,40.23,94,100,7.09,light rain
23,Split,HR,2022-07-22 02:17:43,43.5089,16.4392,74.84,68,0,2.3,clear sky
